Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,prediction,probability,prediction_label
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,691.0,571.0,230.3333333,66.0,66.0,66.0,412.6666667,1238.0,189.25,172.3333333,0.0,691.0,66.0,64240.0,0,4.21944e-06,BENIGN
443.0,55.0,55.0,55.0,0.0,0.0,0.0,62.0,62.0,55.0,1.0,0.0,55.0,0.0,508.0,0,0.031179195,BENIGN
443.0,3818.0,1454.0,1272.666667,0.0,0.0,0.0,2497.333333,7492.0,1272.666667,1218.666667,0.0,3818.0,0.0,514.0,0,0.00014995661,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38673.0,1454.0,943.2439024,184.2352941,3132.0,700.8103448,61.41176471,887.195122,1974.0,38673.0,64240.0,0,0.00078727206,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2017.0,1454.0,1008.5,54.0,54.0,54.0,1969.0,3938.0,690.3333333,954.5,0.0,2017.0,54.0,514.0,0,3.7478e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,3872.0,1454.0,968.0,2466.0,1454.0,822.0,1888.0,7552.0,905.4285714,914.0,768.0,3872.0,2466.0,514.0,0,0.00010271362,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41031.0,225.0,93.0,75.0,240.0,78.0,60.0,102.0,306.0,66.42857143,21.0,6.0,225.0,240.0,501.0,0,1.36099e-05,BENIGN
