Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,prediction,probability,prediction_label
443.0,348.0,294.0,174.0,372.0,316.0,186.0,300.0,600.0,180.0,120.0,132.0,348.0,372.0,510.0,0,9.871512e-07,BENIGN
443.0,348.0,294.0,174.0,372.0,316.0,186.0,300.0,600.0,180.0,120.0,132.0,348.0,372.0,510.0,0,9.871512e-07,BENIGN
443.0,4057.0,1506.0,507.125,52828.0,1506.0,1354.564103,966.25,7730.0,1210.319149,453.125,1300.564103,4057.0,52828.0,516.0,0,0.0016416985,BENIGN
443.0,7425.0,1506.0,742.5,33675.0,1506.0,962.1428571,1437.0,14370.0,913.3333333,688.5,908.1428571,7425.0,33675.0,516.0,0,0.0009591181,BENIGN
443.0,3997.0,1506.0,444.1111111,3682.0,1506.0,526.0,840.2222222,7562.0,479.9375,388.7777778,470.2857143,3997.0,3682.0,64240.0,0,3.3982305e-05,BENIGN
443.0,3490.0,1506.0,436.25,3416.0,1506.0,683.2,824.5,6596.0,531.2307692,380.75,626.8,3490.0,3416.0,64240.0,0,3.4220484e-05,BENIGN
443.0,1711.0,1506.0,427.75,66.0,66.0,66.0,807.5,3230.0,355.4,370.75,0.0,1711.0,66.0,64240.0,0,1.876207e-05,BENIGN
443.0,348.0,294.0,174.0,372.0,316.0,186.0,300.0,600.0,180.0,120.0,132.0,348.0,372.0,510.0,0,9.871512e-07,BENIGN
443.0,7335.0,1506.0,333.4090909,167308.0,1506.0,1178.225352,618.8181818,13614.0,1064.896341,279.4090909,1124.225352,7335.0,167308.0,516.0,0,0.019485831,BENIGN
443.0,11540.0,1506.0,501.7391304,106427.0,1506.0,1075.020202,955.4782609,21976.0,966.942623,447.7391304,1021.020202,11540.0,106427.0,516.0,0,0.001604957,BENIGN
443.0,6717.0,1506.0,419.8125,41073.0,1506.0,1173.514286,791.625,12666.0,937.0588235,365.0625,1119.171429,6717.0,41073.0,64240.0,0,0.0009538293,BENIGN
443.0,3598.0,1506.0,359.8,15060.0,1506.0,836.6666667,671.6,6716.0,666.3571429,304.6,782.0,3598.0,15060.0,64240.0,0,0.000100364065,BENIGN
443.0,1953.0,1506.0,279.0,3682.0,1506.0,526.0,510.0,3570.0,402.5,223.2857143,470.2857143,1953.0,3682.0,64240.0,0,3.226745e-05,BENIGN
443.0,348.0,294.0,174.0,372.0,316.0,186.0,300.0,600.0,180.0,120.0,132.0,348.0,372.0,510.0,0,9.871512e-07,BENIGN
