timestamp,src_ip,dst_ip,protocol,size,direction
2024-12-31 18:41:22,8.8.8.8,192.168.1.1,17,1085,inbound
2024-12-31 18:41:22,8.8.8.8,192.168.1.1,6,995,inbound
2024-12-31 18:41:23,192.168.1.1,8.8.8.8,17,247,outbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,6,1490,inbound
2024-12-31 18:41:23,192.168.1.1,8.8.8.8,6,1498,outbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,6,223,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,17,968,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,6,925,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,17,115,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,17,123,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,17,1090,inbound
2024-12-31 18:41:23,8.8.8.8,192.168.1.1,6,844,inbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,17,1058,inbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,6,1193,inbound
2024-12-31 18:41:24,192.168.1.1,8.8.8.8,6,1474,outbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,6,1109,inbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,17,1175,inbound
2024-12-31 18:41:24,192.168.1.1,8.8.8.8,6,1195,outbound
2024-12-31 18:41:24,192.168.1.1,8.8.8.8,17,166,outbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,6,472,inbound
2024-12-31 18:41:24,8.8.8.8,192.168.1.1,6,1222,inbound
2024-12-31 18:41:24,192.168.1.1,8.8.8.8,17,1044,outbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,17,1452,inbound
2024-12-31 18:41:25,192.168.1.1,8.8.8.8,17,1205,outbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,6,204,inbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,6,1420,inbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,6,841,inbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,6,950,inbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,6,1247,inbound
2024-12-31 18:41:25,192.168.1.1,8.8.8.8,17,478,outbound
2024-12-31 18:41:25,192.168.1.1,8.8.8.8,17,807,outbound
2024-12-31 18:41:25,8.8.8.8,192.168.1.1,17,238,inbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,17,753,inbound
2024-12-31 18:41:26,192.168.1.1,8.8.8.8,6,121,outbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,17,1407,inbound
2024-12-31 18:41:26,192.168.1.1,8.8.8.8,17,1194,outbound
2024-12-31 18:41:26,192.168.1.1,8.8.8.8,17,671,outbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,17,790,inbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,6,1182,inbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,6,647,inbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,17,1291,inbound
2024-12-31 18:41:26,8.8.8.8,192.168.1.1,17,891,inbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,17,132,outbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,17,423,outbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,6,920,outbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,6,668,outbound
2024-12-31 18:41:27,8.8.8.8,192.168.1.1,17,1435,inbound
2024-12-31 18:41:27,8.8.8.8,192.168.1.1,6,254,inbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,17,338,outbound
2024-12-31 18:41:27,8.8.8.8,192.168.1.1,6,349,inbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,6,651,outbound
2024-12-31 18:41:27,192.168.1.1,8.8.8.8,17,170,outbound
2024-12-31 18:41:28,8.8.8.8,192.168.1.1,6,751,inbound
2024-12-31 18:41:28,8.8.8.8,192.168.1.1,17,464,inbound
2024-12-31 18:41:28,8.8.8.8,192.168.1.1,6,900,inbound
2024-12-31 18:41:28,8.8.8.8,192.168.1.1,6,1274,inbound
2024-12-31 18:41:28,192.168.1.1,8.8.8.8,17,1453,outbound
2024-12-31 18:41:28,192.168.1.1,8.8.8.8,6,526,outbound
2024-12-31 18:41:28,192.168.1.1,8.8.8.8,17,985,outbound
2024-12-31 18:41:28,192.168.1.1,8.8.8.8,17,1003,outbound
2024-12-31 18:41:28,192.168.1.1,8.8.8.8,17,143,outbound
2024-12-31 18:41:28,8.8.8.8,192.168.1.1,17,1224,inbound
2024-12-31 18:41:29,8.8.8.8,192.168.1.1,6,234,inbound
2024-12-31 18:41:29,192.168.1.1,8.8.8.8,17,1123,outbound
2024-12-31 18:41:29,192.168.1.1,8.8.8.8,17,543,outbound
2024-12-31 18:41:29,8.8.8.8,192.168.1.1,6,1462,inbound
2024-12-31 18:41:29,192.168.1.1,8.8.8.8,6,893,outbound
