Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,Label
3389,1379,337,1867,841,644,243,54,341,643,474,54,1379,337,45708,BENIGN
80,1443,1330,1268,829,1663,1452,56,648,825,564,56,1443,1330,22944,BENIGN
80,573,807,594,345,1570,1418,38,944,207,540,38,573,807,12967,BENIGN
22,1342,750,956,642,578,450,60,782,284,694,60,1342,750,38268,BENIGN
443,1031,1396,591,586,1086,1061,46,423,943,636,46,1031,1396,11387,BENIGN
3389,1254,135,668,282,657,521,47,343,258,960,47,1254,135,24651,BENIGN
3389,1434,559,518,440,1940,1098,56,485,500,671,56,1434,559,26430,BENIGN
3389,1069,391,724,376,1888,956,26,614,820,483,26,1069,391,45820,BENIGN
22,219,782,1446,995,907,468,25,538,693,473,25,219,782,49220,BENIGN
443,706,130,1481,832,502,314,42,427,345,265,42,706,130,51464,BENIGN
443,143,841,1262,428,1272,526,37,501,750,587,37,143,841,34027,BENIGN
80,628,1056,1883,1451,859,716,51,534,924,360,51,628,1056,16810,BENIGN
80,3285,1405,1980,636,1004,953,51,2600,403,843,51,657,1405,63469,DDoS
25,270,433,874,744,538,320,58,750,441,922,58,270,433,31616,BENIGN
443,1153,424,1306,276,902,388,33,807,387,380,33,1153,424,11943,BENIGN
443,2355,485,3789,1059,1258,617,60,3800,931,903,60,471,485,61306,DDoS
443,1292,835,1524,1322,1341,1148,30,294,353,325,30,1292,835,45149,BENIGN
443,216,1157,893,653,579,566,43,926,773,668,43,216,1157,44081,BENIGN
443,154,148,1478,1207,1522,985,41,416,799,732,41,154,148,60365,BENIGN
3389,1023,1143,1224,978,1963,1554,52,859,339,800,52,1023,1143,18699,BENIGN
25,148,441,1205,234,1739,1306,24,993,727,547,24,148,441,56411,BENIGN
80,1143,849,819,799,1208,850,49,852,886,663,49,1143,849,29736,BENIGN
443,1232,807,1347,888,809,577,41,498,516,393,41,1232,807,21730,BENIGN
3389,302,1106,557,425,1032,493,46,341,872,512,46,302,1106,42863,BENIGN
22,3945,103,5475,566,1555,1140,51,2896,209,519,51,789,103,35538,DDoS
25,1840,651,2643,305,1159,1084,42,2288,778,539,42,368,651,37542,DDoS
443,1216,329,1025,229,1567,948,37,709,282,271,37,1216,329,13941,BENIGN
80,630,385,1177,709,1091,472,32,985,284,359,32,630,385,21343,BENIGN
22,499,1235,1728,1640,1351,618,31,566,885,571,31,499,1235,4702,BENIGN
3389,454,1457,1982,1019,1467,249,33,847,524,393,33,454,1457,26450,BENIGN
443,411,1012,1718,706,1120,879,53,230,309,936,53,411,1012,26071,BENIGN
3389,1104,1286,1993,571,534,269,43,446,909,404,43,1104,1286,64883,BENIGN
443,1665,360,3930,475,1600,1105,50,1840,402,566,50,333,360,41522,DDoS
80,1254,1267,821,369,1724,1442,41,822,234,526,41,1254,1267,20055,BENIGN
25,588,1209,1044,694,996,507,31,939,671,538,31,588,1209,11706,BENIGN
22,1318,1279,1540,247,1036,522,29,548,388,789,29,1318,1279,25772,BENIGN
443,101,382,1462,444,887,871,24,502,214,782,24,101,382,42281,BENIGN
25,1425,1148,1493,1388,1886,1671,49,533,527,781,49,1425,1148,32894,BENIGN
22,595,982,761,602,1174,469,24,417,248,687,24,595,982,45962,BENIGN
25,1230,468,927,324,688,585,49,473,595,670,49,1230,468,22537,BENIGN
443,586,767,586,205,1988,947,54,207,891,693,54,586,767,48593,BENIGN
80,1017,906,960,263,1880,1325,49,559,423,717,49,1017,906,44589,BENIGN
80,605,1107,1597,1316,1410,963,29,913,413,723,29,605,1107,46942,BENIGN
80,538,480,1317,1164,1940,527,59,717,348,579,59,538,480,31610,BENIGN
22,3290,879,1536,303,1890,1822,38,976,431,634,38,658,879,28313,DDoS
443,1016,190,1335,1225,1097,470,51,430,682,319,51,1016,190,47699,BENIGN
80,1026,867,1521,761,1544,868,34,647,345,713,34,1026,867,61670,BENIGN
80,600,1118,3135,776,1472,739,25,1104,325,858,25,120,1118,47115,DDoS
80,486,1340,1176,320,1852,898,60,597,519,724,60,486,1340,44600,BENIGN
80,559,1248,1864,709,513,437,44,979,207,316,44,559,1248,1359,BENIGN
80,6775,1365,4758,1427,1884,692,53,3620,928,657,53,1355,1365,32774,DDoS
22,492,1364,1856,1658,611,267,34,558,652,518,34,492,1364,9156,BENIGN
443,613,1101,625,570,1113,217,50,519,730,584,50,613,1101,17073,BENIGN
443,1271,1360,1238,677,861,310,31,352,300,819,31,1271,1360,51655,BENIGN
80,719,942,1681,338,1354,490,50,902,460,582,50,719,942,17124,BENIGN
25,1077,452,1014,888,1076,482,34,398,497,579,34,1077,452,22073,BENIGN
443,1095,923,1403,1047,1818,1686,43,444,939,304,43,1095,923,9158,BENIGN
3389,748,714,832,827,1197,1160,45,238,973,471,45,748,714,44609,BENIGN
80,763,189,1678,750,1931,809,41,314,690,390,41,763,189,59115,BENIGN
