Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,691,571,230.3333333,66,66,66,412.6666667,1238,189.25,172.3333333,0,691,66,64240
443,55,55,55,0,0,0,62,62,55,1,0,55,0,508
443,3818,1454,1272.666667,0,0,0,2497.333333,7492,1272.666667,1218.666667,0,3818,0,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38673,1454,943.2439024,184.2352941,3132,700.8103448,61.41176471,887.195122,1974,38673,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2017,1454,1008.5,54,54,54,1969,3938,690.3333333,954.5,0,2017,54,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,225,93,75,240,78,60,102,306,66.42857143,21,6,225,240,501
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,2442,1454,610.5,66,66,66,1173,4692,501.6,553.5,0,2442,66,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
