timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,window_size
2025-03-28 01:02:26,192.168.255.142,35.223.238.178,43553,443,A,508
2025-03-28 01:02:26,192.168.255.142,35.223.238.178,43417,443,A,509
2025-03-28 01:02:26,35.223.238.178,192.168.255.142,443,43417,A,286
2025-03-28 01:02:26,35.223.238.178,192.168.255.142,443,43417,A,286
2025-03-28 01:02:26,35.223.238.178,192.168.255.142,443,43553,A,298
2025-03-28 01:02:26,35.223.238.178,192.168.255.142,443,43553,A,298
2025-03-28 01:02:27,192.168.255.142,35.223.238.178,40309,443,A,514
2025-03-28 01:02:28,35.223.238.178,192.168.255.142,443,40309,A,4732
2025-03-28 01:02:32,192.168.255.142,52.187.79.109,39376,443,A,511
2025-03-28 01:02:33,52.187.79.109,192.168.255.142,443,39376,A,251
2025-03-28 01:02:33,192.168.255.142,35.223.238.178,43822,443,S,64240
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,SA,42600
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,A,514
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,PA,514
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,A,329
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,A,331
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,331
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,A,514
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,331
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,PA,512
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,325
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,325
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,325
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,PA,325
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,A,510
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,PA,510
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,FA,325
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,FA,510
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,A,510
2025-03-28 01:02:34,35.223.238.178,192.168.255.142,443,43822,A,325
2025-03-28 01:02:34,192.168.255.142,35.223.238.178,43822,443,RA,0
2025-03-28 01:02:35,35.223.238.178,192.168.255.142,443,43822,A,325
2025-03-28 01:02:39,192.168.255.142,74.125.68.188,31201,5228,A,512
