Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,294,294,294.0,0,0,0,540.0,540,294.0,240.0,0,294,0,513
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,66,66,66.0,0,0,0,84.0,84,66.0,0.0,0,66,0,64240
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,132,66,66.0,0,0,0,84.0,168,66.0,0.0,0,132,0,64240
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,132,66,66.0,0,0,0,84.0,168,66.0,0.0,0,132,0,64240
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,198,66,66.0,0,0,0,84.0,252,66.0,0.0,0,198,0,64240
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,198,66,66.0,0,0,0,84.0,252,66.0,0.0,0,198,0,64240
47194,112,56,56.0,54,54,54.0,64.0,128,55.333333333333336,2.0,0.0,112,54,16386
443,348,294,174.0,371,315,185.5,300.0,600,179.75,120.0,131.5,348,371,513
47118,56,56,56.0,54,54,54.0,64.0,64,55.0,2.0,0.0,56,54,509
7680,198,66,66.0,0,0,0,84.0,252,66.0,0.0,0,198,0,64240
47194,112,56,56.0,54,54,54.0,64.0,128,55.333333333333336,2.0,0.0,112,54,16386
