Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,4057,1506,507.125,52828,1506,1354.564103,966.25,7730,1210.319149,453.125,1300.564103,4057,52828,516
443,7425,1506,742.5,33675,1506,962.1428571,1437,14370,913.3333333,688.5,908.1428571,7425,33675,516
443,3997,1506,444.1111111,3682,1506,526,840.2222222,7562,479.9375,388.7777778,470.2857143,3997,3682,64240
443,3490,1506,436.25,3416,1506,683.2,824.5,6596,531.2307692,380.75,626.8,3490,3416,64240
443,1711,1506,427.75,66,66,66,807.5,3230,355.4,370.75,0,1711,66,64240
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,7335,1506,333.4090909,167308,1506,1178.225352,618.8181818,13614,1064.896341,279.4090909,1124.225352,7335,167308,516
443,11540,1506,501.7391304,106427,1506,1075.020202,955.4782609,21976,966.942623,447.7391304,1021.020202,11540,106427,516
443,6717,1506,419.8125,41073,1506,1173.514286,791.625,12666,937.0588235,365.0625,1119.171429,6717,41073,64240
443,3598,1506,359.8,15060,1506,836.6666667,671.6,6716,666.3571429,304.6,782,3598,15060,64240
443,1953,1506,279,3682,1506,526,510,3570,402.5,223.2857143,470.2857143,1953,3682,64240
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,8888,1506,329.1851852,189388,1506,1161.889571,610.3703704,16480,1043.557895,275.1851852,1107.889571,8888,189388,516
443,18227,1506,433.9761905,235532,1506,1085.400922,819.952381,34438,979.7644788,379.9761905,1031.400922,18227,235532,516
443,10254,1506,379.7777778,123741,1506,1201.368932,711.5555556,19212,1030.730769,325.3333333,1147.252427,10254,123741,64240
443,6186,1506,412.4,52735,1506,1054.7,776.8,11652,906.4769231,357.6,1000.46,6186,52735,64240
443,1953,1506,279,3682,1506,526,510,3570,402.5,223.2857143,470.2857143,1953,3682,64240
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,13690,1506,304.2222222,310398,1506,1136.989011,560.4444444,25220,1019.144654,250.2222222,1082.989011,13690,310398,516
443,18227,1506,433.9761905,235588,1506,1080.678899,819.952381,34438,976.2115385,379.9761905,1026.678899,18227,235588,516
443,11732,1506,391.0666667,132505,1506,1172.610619,734.1333333,22024,1008.65035,336.6666667,1118.504425,11732,132505,64240
443,7602,1506,380.1,98068,1506,1127.218391,712.2,14244,987.5700935,325.5,1073.08046,7602,98068,64240
443,1953,1506,279,3682,1506,526,510,3570,402.5,223.2857143,470.2857143,1953,3682,64240
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,14642,1506,292.84,342678,1506,1130.950495,537.68,26884,1012.23796,238.84,1076.950495,14642,342678,516
443,18227,1506,433.9761905,235588,1506,1080.678899,819.952381,34438,976.2115385,379.9761905,1026.678899,18227,235588,516
443,13127,1506,305.2790698,237964,1506,1245.884817,562.5581395,24190,1073.038462,251,1191.82199,13127,237964,64240
443,9811,1506,272.5277778,233105,1506,1159.726368,497.0555556,17894,1024.962025,218.1944444,1105.666667,9811,233105,64240
443,2689,1506,336.125,3682,1506,526,624.25,4994,424.7333333,280.625,470.2857143,2689,3682,64240
6802,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,1346
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,18510,1506,220.3571429,604049,1506,1144.032197,392.7142857,32988,1017.253268,166.3571429,1090.032197,18510,604049,516
443,19013,1506,432.1136364,246984,1506,1078.532751,816.2272727,35914,974.3479853,378.1136364,1024.532751,19013,246984,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,11517,1506,209.4,405361,1506,1151.59375,370.8,20394,1024.27027,155.1818182,1097.559659,11517,405361,64240
443,3957,1506,208.2631579,97689,1506,1356.791667,368.5263158,7002,1116.989011,153.6315789,1302.625,3957,97689,64240
6802,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,18510,1506,220.3571429,604105,1506,1141.975425,392.7142857,32988,1015.685155,166.3571429,1087.975425,18510,604105,516
443,21297,1506,354.95,374564,1506,1131.613293,661.9,39714,1012.432225,300.95,1077.613293,21297,374564,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,15450,1506,171.6666667,671657,1506,1142.27381,295.3333333,26580,1013.432153,117.5333333,1088.253401,15450,671657,64240
443,4335,1506,166.7307692,141385,1506,1285.318182,285.4615385,7422,1071.470588,112.2692308,1231.209091,4335,141385,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,21491,1506,190.1858407,849630,1506,1154.388587,332.3716814,37558,1026.055359,136.1858407,1100.388587,21491,849630,516
443,21297,1506,354.95,374620,1506,1128.373494,661.9,39714,1009.992347,300.95,1074.373494,21297,374620,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,19002,1506,162.4102564,859156,1506,1139.464191,276.8205128,32388,1008.21814,108.3076923,1085.448276,19002,859156,64240
443,6885,1506,146.4893617,330066,1506,1240.849624,244.9787234,11514,1076.520767,92.23404255,1186.804511,6885,330066,64240
